true_class,text,predicted_label,confidence,most_common_wrong_pred_for_class
fear,Yes. As thy found thousand of pashtons including idris khatak. Ths is the level of ur courage &amp; u know that they r atrocious but u cant speak out just becoz a vigo wil pick u up. Shame on u. &amp; v r not afraid of their vigos. Zindagi mot Allah k hath mai hai kernal general k nhi,anger,0.9617322683334351,neutral
fear,i watched that movie the exorcism of emily rose ........ omg i swear main aik month tak darti rahi the .......plz kamzor dil na dhaykay yay movie,surprise,0.9251619577407837,neutral
fear,sir meri bhi help krdo,neutral,0.9087148904800415,neutral
fear,"#LocalKoVocal Jo log desi sharaab pe switch karne wale hai, dhyaan rahe #Cyberabad me ban hai.",neutral,0.8965281844139099,neutral
fear,"Please do something, coz of family entire society of family is suffering, abHI toh lockdown relaxation mila tha ,kam p jana start kiya tha , ab ye , what if , agar thore din baad koi or CASE nikale , HUM TOH DECEMBER TAK SOCIETY MEIN HI RAHJAYGE, cz they seal for days",sad,0.8687558174133301,neutral
fear,Peshab Ruk Ruk ke aata please advise garam bhi aata hai bahut Dard hota hai,sad,0.8234747648239136,neutral
fear,uske baaad bhi day qurantine mein rukna hoga kya,neutral,0.8031427264213562,neutral
fear,"sir quiz ke bich me ye likha aa Raha hai ,and questions ke bad rd Nd th questions khud skip ho Raha hai,aur balance deducted bhi ho Raha hai ,quiz khelo ya n khali ,wallet me winning amount khuch aur ho Raha hai , please refund entry fee",anger,0.7659452557563782,neutral
fear,ARY Black mail karta hai,neutral,0.7599101066589355,neutral
fear,: Ham ksy papers dy gy bgmagar test diyaaa kuch sochy hmraaaa hmy bi eid sy ply koi achi news dy deaa please #Justicefor,neutral,0.7404648661613464,neutral
surprise,bani gala to kuch be nhi ise na pura pakistan ki hila de hn,anger,0.8671087026596069,neutral
surprise,Who are that peoples who disliked the video....Kon hei ye log kha se aate hei ye log?????,anger,0.8517880439758301,neutral
surprise,"pehlay jab report nahi aati thi peechli hakomatoon main, aaaap nay kitni awaaz buland ki mansooor sb ?",anger,0.8471316695213318,neutral
surprise,"Wah yrr koi add ni lagai ,,I am big fan",happy,0.8321871757507324,neutral
surprise,Abe kia ho gya... Kia sanp songh gya.. Kaha ha wo ajay devgun aur sunny leaone aha deval bhej do unku border pe,anger,0.8110089898109436,neutral
surprise,What is this happening? Yeh kia ho rha hai with Pakistan??,neutral,0.6464729905128479,neutral
surprise,Didnt remember it. Tum ho na.,neutral,0.6413970589637756,neutral
surprise,Punjabi poet bhi civilain hua karta hai kya?,neutral,0.6364313960075378,neutral
surprise,Humare Bharat m to #lockdown bhi continue h Or positive cases bhi hon wale h y kya ho raha h,neutral,0.6143482327461243,neutral
surprise,Fake acount bhi bn gya aj or dhair active followers bhi mil gay wah Pakistanio,neutral,0.6089763045310974,neutral
